"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61849","Login Test","","2026-06-25","broken","2026-06-25","","LoginTestFinal.spec.ts","",""
"","30628","Login Test","","2026-06-25","failed","2026-06-25","","LoginTest.spec.ts","",""
